"","name","count"
"1","washer",14282
"2","wifi",13545
"3","dryer",12232
"4","essentials",12025
"5","kitchen",11759
"6","tv",11619
"7","heating",11524
"8","long term",11344
"9","hangers",10553
"10","iron",9505
"11","hot water",9490
"12","shampoo",8850
"13","air conditioning",8364
"14","spa",8297
"15","dishes and silverware",7281
"16","parking",7249
"17","refrigerator",6871
"18","cooking basics",6847
"19","elevator",6703
"20","microwave",6696
"21","coffee",6581
"22","linens",5916
"23","alarm",5274
"24","stove",5058
"25","oven",4608
"26","fire extinguisher",3864
"27","extra pillows and blankets",3547
"28","first aid kit",3543
"29","host greets you",3198
"30","lock",2626
"31","gel",2406
"32","luggage dropoff allowed",2384
"33","patio",2331
"34","room",2209
"35","crib",2202
"36","darkening shades",2117
"37","private entrance",1928
"38","breakfast",1487
"39"," table",1390
"40","freezer",1375
"41","clothing storage",1313
"42","soap",1206
"43","cleaning products",1135
"44","drying rack for clothing",1107
"45","ethernet",982
"46","bathtub",939
"47","toaster",920
"48","security camera",876
"49","closet",852
"50","wine glasses",837
"51","single level home",817
"52","backyard",688
"53","pack ",682
"55","laundromat nearby",676
"56","high chair",672
"57","children",607
"58","pool",583
"59","portable fans",527
"60","nespresso",439
"61","cleaning before checkout",413
"62","building staff",387
"63","books and toys",354
"65","babysitter",345
"66","conditioner",338
"67","gym",319
"68","bidet",316
"69","baking sheet",300
"70","mini fridge",290
"71","window guards",278
"72","dinnerware",253
"73","indoor fireplace",247
"74","keypad",217
"75","baby bath",208
"76","hot tub",208
"77","ceiling fan",199
"78","pour",199
"79","outdoor furniture",192
"80","safe",188
"81","ps",184
"82","sound system",168
"83","outlet covers",163
"84","beachfront",109
"85","outdoor dining area",98
"87","desk",87
"89","outdoor shower",81
"90","board games",80
"91","bbq grill",79
"92","heater",79
"93","ski",78
"94","office",75
"96","wardrobe",70
"97","table corner guards",61
"98","game console",60
"99","barbecue utensils",55
"100","rice maker",54
"101","dresser",53
"102","ev charger",52
"103","bread maker",47
"105","cable",44
"106","window ac unit",44
"109","netflix",42
"112","fireplace guards",38
"113","mosquito net",35
"114","self check",34
"115","monitor",31
"116","piano",30
"117","bikes",26
"118","lake access",26
"120","record player",21
"121","amazon prime",20
"125","pets allowed",13
"127","sauna",11
"128","trash compactor",11
"129","chromecast",10
"130","hbo max",9
"131","jab",9
"138","garage",6
"139","smoking allowed",6
"140","toiletries",6
"144","bed sheets and pillows",5
"145","laundry",5
"148","fire pit",4
"150","waterfront",4
"154","concierge",3
"157","housekeeping",3
"158","minibar",3
"159","onsite bar ",3
"171","airport shuttle",2
"174","garden",2
"175","horno",2
"176","onsite restaurant",2
"177","roku",2
"178","suitable for events",2
"183","vitrocer",2
"207","air fryer",1
"209","all inclusive",1
"213","bottled water",1
"214","cd player",1
"219","fitness center",1
"223","mini cadena",1
"224","nintendo",1
"229","shared indoor olympic",1
"230","shared outdoor olympic",1
"231","slippers",1
"259","xbox one",1
